SP.POP.TOTL,NY.GDP.MKTP.KD,SI.DST.04TH.20,SI.POV.GINI,year,SI.DST.FRST.20,NY.GNP.MKTP.KD,SI.DST.05TH.20,VC.IHR.PSRC.P5,cname,ccode,SI.DST.10TH.10,SI.DST.02ND.20,SI.DST.FRST.10,SI.DST.03RD.20,IC.FRM.CRIM.ZS
3065954,3400246575,20.33,36.16,2005,7.98,3494281476,44.63,1.793895147,Armenia,ARM,30.8,11.79,3.33,15.27,0.01
3061067,2370398385,20.78,35.66,2002,7.93,2459769230,44,2.254115967,Armenia,ARM,29.86,11.8,3.32,15.49,0.61
10158608,50275293599,22.35,26.82,2002,9.5,47614633047,36.55,1.998174476,Hungary,HUN,22.29,13.92,4.08,17.68,0.2
141910000,3.9821E11,21.29,40.11,2009,6.46,3.84673E11,47.13,11.2,Russian Federation,RUS,31.68,10.35,2.75,14.77,0.77
143150000,3.4971E11,22.35,37.51,2005,6.52,3.40577E11,44.43,24.9,Russian Federation,RUS,28.59,10.98,2.68,15.72,0.53
1.452996903E8,2.8588E11,22.65,35.7,2002,6.88,2.80764E11,42.91,30.7,Russian Federation,RUS,27.07,11.42,2.84,16.14,0.86
2056769,4494737198,21.98,43.17,2009,5.13,4455616246,48.87,1.750318096,"Macedonia, FYR",MKD,32.4,9.49,2.03,14.53,0.69
2038109,3877087656,22.74,39.13,2005,5.83,3803650942,45.34,2.600449731,"Macedonia, FYR",MKD,28.93,10.51,2.32,15.58,0.28
2022255,3453793697,22.34,38.75,2002,6.04,3412220087,45.21,3.461482355,"Macedonia, FYR",MKD,29.33,10.77,2.39,15.64,0.76
47105150,45231599857,22.61,28.21,2005,9.02,44816989449,37.43,8.611811198,Ukraine,UKR,22.73,13.45,3.87,17.49,0.46
46258200,53572110088,22.46,27.51,2008,9.36,53185919860,37.08,7.00128093,Ukraine,UKR,22.55,13.61,4.07,17.49,0.63
48202500,35912742450,22.58,28.28,2002,8.93,35472874982,37.43,10.00575279,Ukraine,UKR,22.8,13.52,3.79,17.54,0.73
27031000,1.46006E11,22.18,44.77,2006,4.28,1.45022E11,49.42,45.18089887,"Venezuela, RB",VEN,33.17,9.52,1.2,14.6,1.51
70923730,3.75074E11,22.42,38.95,2008,5.7,3.70751E11,45.06,3.3,Turkey,TUR,29.35,10.93,2.11,15.89,0.39
38151603,2.41613E11,22.03,34.07,2009,7.68,2.32304E11,42.11,1.3,Poland,POL,27.05,11.95,3.26,16.23,0.48
38165445,1.99364E11,22.38,34.92,2005,7.34,1.94877E11,42.38,1.45421045,Poland,POL,27.2,11.7,3.03,16.2,0.3
38230364,1.75843E11,22.17,34.05,2002,7.57,1.7525E11,41.98,1.872850358,Poland,POL,26.82,11.97,3.19,16.31,0.58
3435591,15435325000,22.36,35.81,2004,6.79,14992214940,42.97,8.42,Lithuania,LTU,27.59,11.63,2.72,16.25,2.7
3469070,13042025000,22.59,32.33,2002,7.68,12882053949,40.29,7.22,Lithuania,LTU,25.18,12.51,3.14,16.93,0.65
43696540,1.27917E11,0,58.66,2006,0,1.23171E11,100,40.00087879,Colombia,COL,100,0,0,0,0.68
46294841,1.49691E11,18.79,55.91,2010,3,1.43023E11,60.15,33.4,Colombia,COL,44.43,6.83,0.87,11.23,0.27
27866387,70497520780,20.41,50.87,2006,3.78,68232061393,55.55,2.7,Peru,PER,39.18,7.69,1.37,12.57,0.4
26579252,56085932802,19.17,55.64,2002,3,54652956637,59.67,2.7,Peru,PER,43.99,6.76,1.01,11.4,5.31
3294583,15573098990,20.17,55.06,2006,2.53,14385766978,58.83,11.2609092,Panama,PAN,41.61,6.79,0.74,11.68,0.54
3516820,21486310530,20.06,51.92,2010,3.3,19996912761,56.38,21.6,Panama,PAN,40.08,7.75,1.1,12.51,0.32
193246610,8.5507E11,19.04,54.69,2009,2.85,8.37864E11,58.57,22.7,Brazil,BRA,42.93,7.13,0.77,12.41,1.69
181633074,6.78218E11,18.65,58.78,2003,2.27,6.56136E11,62.41,33.1,Brazil,BRA,46.32,6.02,0.57,10.65,0.39
5383300,2058575694,22.37,36.19,2009,6.82,1979894266,43.38,8.1,Kyrgyz Republic,KGZ,27.79,11.4,2.8,16.03,0.34
5162600,1649306468,22.42,39.49,2005,6,1591124080,45.93,9.737463313,Kyrgyz Republic,KGZ,29.61,10.37,2.45,15.28,0.75
4990700,1442330936,22.43,31.67,2002,8.35,1388562993,40.29,8.215578376,Kyrgyz Republic,KGZ,25.02,12.35,3.65,16.58,2.57
6074487,15329111295,20.72,46.19,2006,4.61,14968132485,51.65,64.66389672,El Salvador,SLV,35.94,9.23,1.63,13.79,2.58
6008523,13985703810,21.47,50.72,2003,2.74,13586130065,54.32,55.85399274,El Salvador,SLV,37.42,8.09,0.58,13.38,3.85
67276383,1.654E11,20.97,42.35,2006,6.08,1.59261E11,49.15,6.966783574,Thailand,THA,33.3,9.78,2.5,14.02,0.11
78323298,1.45592E11,21.03,30.77,2008,9.24,1.4676E11,40.34,1.012470134,"Egypt, Arab Rep.",EGY,26.58,13.02,3.96,16.37,3.03
2338624,9010898599,22,35.91,2002,6.94,9037158560,43.24,10.82,Latvia,LVA,28.21,11.68,2.8,16.14,0.43
7440769,7888605693,22.47,33.4,2005,7.45,7792903607,41.05,1.89,Serbia,SRB,26.13,12.33,2.89,16.7,0.41
7480591,6847617227,22.19,32.81,2003,7.79,6799867375,40.93,2.2,Serbia,SRB,26.07,12.42,3.23,16.67,1.96
7500031,6669246165,22.1,32.74,2002,7.97,6636900444,40.9,2.1,Serbia,SRB,26.25,12.46,3.23,16.57,0.61
25567700,15538140015,21.48,36.72,2003,7.14,15350453855,44.19,3.778027432,Uzbekistan,UZB,29.47,11.52,2.85,15.67,0
25271800,14911842625,21.45,34.55,2002,7.8,14686773889,42.66,4.185949863,Uzbekistan,UZB,28.23,12.08,3.17,16.01,0.37
